stream_id,Date,Species,Rep
S.42,20151006,lAPLPER,3
S.48,20151110,lDENELE,2
S.39,20151207,lDENMIC,4
S.27,20151122,lHYPBIS,4
S.21,20151126,lHYPBIS,4
S.06,20151210,lHYPBIS,4
S.29,20160218,lHYPBIS,4
S.35,20160128,lHYPBIS,4
S.48,20151109,lHYPBIS,4
S.43,20160219,lHYPBIS,5
S.35,20160314,lHYPBIS,5
S.22,20151123,lHYPFAB,1
S.43,20151004,lHYPFAB,1
S.22,20151124,lHYPFAB,2
S.27,20151122,lHYPFAB,4
S.28,20160221,lHYPFAB,5
S.48,20160229,lHYPFAB,5
S.20,20160127,lHYPFAB,5
S.26,20151123,lMACALI,2
S.26,20151124,lMACALI,3
S.13,20160228,lMACALI,5
S.43,20151004,lPARSP,1
S.41,20151004,lPARSP,1
S.09,20151005,lPARSP,1
S.23,20151123,lPARSP,1
S.49,20151110,lPARSP,1
S.27,20151124,lPARSP,2
S.30,20151125,lPARSP,2
S.43,20151005,lPARSP,2
S.09,20151006,lPARSP,2
S.23,20151124,lPARSP,2
S.49,20151111,lPARSP,2
S.06,20151208,lPARSP,2
S.23,20151125,lPARSP,3
S.49,20151112,lPARSP,3
S.44,20151006,lPARSP,4
S.45,20151006,lPARSP,4
S.45,20151006,lPARSP,4
S.21,20151126,lPARSP,4
S.43,20151007,lPARSP,4
S.47,20151109,lPARSP,4
S.46,20151110,lPARSP,4
S.34,20151020,lPARSP,4
S.32,20151023,lPARSP,4
S.32,20151023,lPARSP,4
S.17,20151020,lPARSP,4
S.09,20151008,lPARSP,4
S.04,20151125,lPARSP,4
S.49,20151109,lPARSP,4
S.49,20151109,lPARSP,4
S.39,20151207,lPARSP,4
S.16,20151023,lPARSP,4
S.35,20160128,lPARSP,4
S.12,20151210,lPARSP,4
S.42,20151009,lPARSP,4
S.48,20151109,lPARSP,4
S.24,20160313,lPARSP,4
S.21,20160214,lPARSP,5
S.30,20160218,lPARSP,5
S.47,20160229,lPARSP,5
S.41,20160216,lPARSP,5
S.41,20160216,lPARSP,5
S.34,20160202,lPARSP,5
S.34,20160202,lPARSP,5
S.17,20160128,lPARSP,5
S.09,20160129,lPARSP,5
S.26,20160217,lPARSP,5
S.16,20160127,lPARSP,5
S.16,20160127,lPARSP,5
S.28,20160221,lPARSP,5
S.31,20160202,lPARSP,5
S.42,20160219,lPARSP,5
S.48,20160229,lPARSP,5
S.24,20160316,lPARSP,5
S.24,20160316,lPARSP,5
S.20,20151022,lPHYDIS,4
S.34,20160202,lPHYDIS,5
S.24,20160316,lPHYDIS,5
S.42,20151004,lPHYLAT,1
S.42,20151005,lPHYLAT,2
S.19,20151019,lPHYLAT,4
S.42,20151009,lPHYLAT,4
S.48,20151109,lPHYLAT,4
S.41,20160216,lPHYLAT,5
S.16,20160127,lPHYLAT,5
S.31,20160202,lPHYLAT,5
S.27,20151123,lPROBOI,1
S.22,20151123,lPROBOI,1
S.30,20151124,lPROBOI,1
